1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,
1,0,1,1,0,1,2,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,3,2,2,3,0,0,0,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
4,1,1,1,1,1,0,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,2,1,0,0,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,0,0,2,1,1,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,1,0,0,2,2,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,1,1,6,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,4,2,0,6,2,3,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
2,1,1,2,2,2,3,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,0,0,1,0,0,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,2,0,0,1,3,0,0,1,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
2,1,2,3,0,0,1,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
3,4,1,1,3,1,1,0,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,1,0,1,1,0,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,3,1,0,0,1,1,0,0,1,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,0,0,3,1,1,2,0,1,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,0,1,0,2,0,0,2,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,0,0,0,2,2,0,1,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,1,3,0,3,3,0,0,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
2,1,0,2,0,1,0,1,1,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,2,0,0,1,0,1,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,4,2,3,0,0,1,4,1,2,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,
2,1,1,1,0,0,3,1,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,0,1,1,1,1,1,1,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
3,2,1,0,0,1,2,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,2,0,3,0,0,1,3,3,8,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,0,0,2,0,1,1,0,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,1,1,3,0,2,0,0,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,2,0,0,2,1,0,1,1,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,4,4,1,0,0,0,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
4,13,11,3,2,3,2,0,0,1,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
2,0,1,4,1,1,0,0,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,1,2,0,4,2,0,1,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,0,1,0,1,0,1,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,4,3,1,2,0,0,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,1,2,3,1,1,0,2,2,4,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
8,2,1,5,2,0,0,1,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,1,1,0,1,0,1,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,2,4,1,1,1,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,1,1,2,0,0,1,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,5,0,4,0,1,1,0,0,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,4,6,0,0,1,0,0,0,3,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
4,2,2,2,2,0,1,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,3,0,3,2,2,2,0,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
6,7,2,2,0,1,0,1,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
3,2,2,0,2,1,0,0,0,0,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
5,4,8,2,2,4,1,0,3,0,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
4,2,2,0,1,0,0,1,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,3,3,3,1,0,0,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
2,0,2,1,1,0,1,0,2,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,2,0,0,1,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,3,1,0,1,0,2,3,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,1,1,0,0,0,0,1,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,1,1,2,1,0,0,0,0,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,
1,0,2,3,2,2,0,1,1,0,2,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,
1,1,0,0,0,1,1,1,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,
1,1,0,0,3,0,0,1,3,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,2,2,2,1,1,2,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
3,0,2,1,3,0,0,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,1,0,1,1,1,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,1,1,2,3,0,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,1,0,0,0,1,1,0,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,1,1,3,3,5,3,0,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,1,4,0,1,0,0,0,1,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,1,2,1,3,0,0,0,0,0,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
1,0,0,1,2,1,0,1,0,0,1,
1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,
2,1,5,1,1,0,0,0,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,2,0,0,1,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,0,2,2,0,0,1,4,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,2,1,1,1,3,2,2,2,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
2,0,1,0,1,1,2,1,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
4,0,1,1,2,0,1,1,3,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
5,3,2,4,2,4,5,2,3,3,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,1,2,1,0,0,0,2,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,3,2,3,0,0,0,0,1,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,1,0,0,0,1,0,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,1,1,0,2,0,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,4,0,1,1,2,0,0,2,2,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,1,2,2,1,0,2,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
3,2,3,2,3,1,1,2,1,3,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,0,3,2,0,1,1,0,4,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,0,0,1,2,0,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,0,1,1,1,0,1,0,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,1,0,2,2,0,0,0,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,1,0,3,1,0,1,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,1,1,1,0,1,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,2,3,1,1,2,6,4,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,1,1,0,0,3,2,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
3,1,0,1,1,0,1,1,0,1,2,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,0,0,1,2,1,0,1,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,1,1,0,0,0,2,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,0,0,2,1,1,3,1,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,0,0,1,0,2,2,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
7,0,2,2,1,1,2,3,0,0,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,1,0,1,0,0,3,6,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,1,2,0,0,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,1,0,0,0,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,0,0,1,3,0,1,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,0,0,0,1,0,1,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,3,1,1,0,0,4,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,0,1,0,1,1,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,1,2,1,0,2,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,1,1,0,1,0,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,0,1,0,1,1,1,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,0,0,1,1,0,1,2,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,0,0,0,1,3,1,2,0,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,0,2,3,1,0,0,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,2,2,0,1,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,0,3,0,0,1,1,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,0,1,1,1,0,0,0,1,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,0,2,1,0,1,0,2,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,2,1,0,2,0,2,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,2,0,0,1,3,0,2,0,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,0,1,2,1,1,0,1,2,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,1,0,0,1,1,1,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,1,7,3,2,1,1,5,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,0,2,7,1,0,0,0,2,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,6,8,3,2,1,4,3,4,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,0,1,1,3,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,2,0,0,2,0,1,2,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,0,5,1,0,0,0,1,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
1,2,1,0,0,0,2,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,1,1,1,4,0,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,0,4,2,1,6,2,6,8,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,6,7,4,0,3,1,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,5,2,1,1,0,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,4,1,0,1,1,1,2,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,1,0,0,2,3,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
4,1,6,0,4,3,7,4,1,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,1,0,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,0,1,0,0,0,3,3,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,
2,0,1,3,0,1,0,1,0,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,8,2,3,4,1,0,3,3,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,6,6,4,4,4,3,1,1,2,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,2,3,2,1,3,4,2,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
2,3,1,2,1,2,0,2,1,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,1,2,2,2,1,3,2,1,2,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,1,1,2,1,1,3,3,4,3,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,4,2,0,1,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,3,3,2,1,0,5,4,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,6,2,2,0,2,2,6,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,7,13,12,3,4,3,1,7,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
6,17,16,12,8,8,6,0,9,7,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,4,2,2,4,1,0,0,1,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
1,2,2,2,2,1,1,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,3,3,4,2,0,0,1,2,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,0,1,0,3,4,3,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,1,2,0,1,0,2,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,4,0,1,0,1,1,0,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,1,0,0,1,0,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,1,1,1,2,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,1,0,0,1,0,0,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,2,3,3,1,1,4,7,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,5,12,1,3,6,7,6,7,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,0,0,2,1,1,2,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,1,2,0,2,1,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,3,2,0,0,2,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,3,3,2,1,4,0,1,6,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,3,0,0,1,8,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,1,2,0,2,0,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,1,2,1,1,1,3,2,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,2,2,0,2,1,5,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,1,1,2,2,2,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,0,2,0,0,1,0,2,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,3,1,0,2,0,2,1,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,6,5,12,1,1,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,2,5,2,1,2,2,2,3,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,4,0,2,1,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,4,2,3,5,7,0,0,4,3,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,5,2,2,5,1,2,5,5,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,2,0,0,1,0,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,3,4,4,3,7,2,1,1,5,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,2,2,0,1,0,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,7,9,0,4,0,1,0,4,2,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,6,3,1,1,1,4,3,6,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,5,1,4,5,2,4,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,0,0,0,0,4,0,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,0,1,0,1,0,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,5,3,3,0,1,6,3,5,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,3,1,1,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,4,1,2,0,1,1,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,1,1,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,3,1,1,3,0,5,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,0,1,0,0,0,0,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,7,6,0,1,3,1,1,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,1,1,1,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,1,1,2,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,4,5,0,3,1,6,5,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,2,1,0,1,0,0,3,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,2,7,1,4,0,1,0,4,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,4,16,6,1,9,3,8,5,10,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,4,5,6,3,5,0,2,1,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,0,1,0,0,0,2,0,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,4,2,0,2,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,11,5,2,0,0,0,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,0,2,5,1,6,4,2,10,9,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,2,1,0,0,0,3,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,3,1,1,4,5,4,5,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,3,3,4,5,6,1,1,2,2,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,0,7,0,1,1,3,4,2,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,2,2,4,3,2,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,2,2,1,3,7,2,5,5,10,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,6,10,7,4,6,3,8,8,10,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,10,4,11,1,0,6,1,1,4,8,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,4,3,4,4,1,2,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,4,5,1,1,3,6,7,8,11,16,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,3,3,3,1,1,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,5,2,5,0,4,1,2,0,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,1,0,1,1,0,1,3,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
2,0,1,1,2,2,0,1,0,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,1,3,0,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,1,0,5,2,2,1,1,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,0,1,1,2,0,0,1,3,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,1,1,1,0,0,1,0,3,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,5,3,8,7,3,0,1,10,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,1,4,1,4,9,4,8,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,4,1,0,0,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,0,1,0,5,1,0,1,3,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,0,3,0,0,0,0,2,1,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,4,3,4,2,4,6,4,4,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,10,13,11,0,3,5,0,3,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,0,3,0,1,0,2,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,11,8,2,0,6,4,4,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,1,1,2,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,4,1,2,1,1,2,3,1,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
2,4,3,3,2,1,1,3,11,7,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,5,7,3,0,1,1,3,1,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,2,10,1,1,2,1,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,0,0,0,0,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,3,2,2,1,0,0,1,2,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,3,1,0,1,1,2,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,9,4,1,0,3,2,1,1,0,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,12,7,17,24,4,10,6,4,6,8,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
3,1,1,0,0,1,0,0,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,4,0,2,2,0,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,1,2,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,1,7,4,3,2,3,4,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,4,1,0,1,0,2,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,1,0,1,0,0,5,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,5,3,3,0,5,1,1,3,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,1,3,3,2,1,1,0,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,0,1,0,0,0,2,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,0,1,2,1,1,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,2,0,2,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,7,3,1,4,0,0,1,2,2,
